city_code,lat,lon
010730,27.3437632,117.4871877
010740,29.9992425,120.576854
010750,26.993991,111.2684212
010770,29.5633687,120.8272061
010780,43.6253314,124.0832728
010790,22.5342935,114.1122989
010800,37.9995085,115.5555234
010810,31.1296564,104.1640039
010820,44.3017013,86.0775574
010830,35.4277705,113.4610033
010840,24.7414982,118.6727038
010850,29.7228427,112.4189037
010860,32.6420675,110.7782466
010870,38.9868531,106.3771974
010880,36.8762356,118.7322549
010890,45.3662519,126.3046846
010900,43.5147427,123.5003448
010910,46.6476235,131.1548641
010920,44.4084581,126.9410597
010930,22.8446849,113.1620858
010940,39.3307915,112.4235469
010950,39.9075675,116.4891221
010970,43.1669821,124.364739
010980,45.1335025,124.8165152
010990,30.1750972,111.7512714
011000,46.6520483,126.9607485
011010,30.5061493,105.574542
011020,31.6921655,113.375823
011040,33.6482366,116.9588062
011050,31.3016935,120.5810725
011080,36.2002968,117.0809316
011090,31.4590371,121.1264772
011100,22.2541202,112.7884998
011110,32.1696072,120.0160999
011120,37.8561856,112.5561744
011130,32.4614944,119.913445
011140,32.49069,119.90812
011150,39.6293065,118.1739275
011160,45.3289825,122.7831976
011170,35.113997,117.1599113
011180,32.669149,118.9994478
011190,39.1235635,117.1980785
011200,30.6635516,113.1616191
011210,34.5797531,105.7062921
011230,46.9806341,128.0471971
011240,42.2895233,123.8394899
011250,29.2481666,113.8116319
011260,34.9034852,108.9461781
011270,41.7225544,125.9170455
011290,43.6392011,122.2497308
011300,30.9345628,117.8089039
011310,27.7223474,109.1838348
011330,30.6316971,120.5610365
011340,39.9088246,116.651169
011350,42.8928924,89.308361
011370,43.8241263,87.5790892
011380,39.6304711,121.999975
011390,18.7961376,110.3872565
011410,32.0716413,108.0359623
011420,36.7071591,119.1557441
011430,37.5120997,122.1152599
011440,35.4126425,114.0633095
011450,34.5037437,109.4572848
011460,19.5452604,110.7932208
011470,37.1960899,122.0479985
011480,28.3754144,121.3812013
011490,24.14549,117.660807
011500,31.6846755,112.0087022
011510,29.8779053,103.6588788
011520,21.4431015,110.7717184
011530,48.5108166,126.1927965
011540,33.2828949,113.4864164
011550,26.7296979,110.6282775
011560,39.6540161,106.7879045
011570,30.5951051,114.2999353
011580,31.3536127,118.4277477
011590,31.1415158,120.6406744
011600,31.7036059,119.9377617
011610,46.070838,122.0698453
011630,37.928881,102.6359886
011640,31.5776264,120.2951311
011650,31.338889000000002,116.627778
011660,32.3739839,117.4664482
011680,37.9822616,106.1961109
011690,23.478767,111.277099
011700,36.2598076,102.5705794
011710,34.3468421,108.9365887
011720,33.4430697,114.9031316
011730,32.0596812,112.1494733
011740,27.8339927,112.935675
011750,27.7373439,112.5301895
011760,29.8437545,114.3169418
011770,30.3635622,113.4170705
011780,34.3075655,108.7234362
011790,30.9203436,113.9496516
011800,30.1862432,120.2597898
011810,37.1452884,111.7724751
011820,27.8983767,102.2627884
011830,42.7327309,124.7154088
011850,40.6203363,120.7112158
011860,32.9325092,119.8321293
011870,24.1466813,115.728847
011880,34.2993736,108.4830556
011890,37.0382214,114.5700463
011900,34.7899788,113.3809573
011910,25.0917444,104.8974498
011920,24.6613176,108.3104595
011930,36.6225321,101.7721957
011940,27.4306724,103.4377503
011950,38.3790768,114.7375157
011960,34.5307313,113.3761237
011970,41.9995174,122.8304404
011980,35.9068588,117.76243
011990,35.3021133,113.9202062
012000,32.127372,114.0676596
012010,22.3543061,110.943747
012020,34.3769236,118.3485083
012030,45.8441731,132.9283277
012040,34.3971133,113.7336778
012050,38.4139173,112.730463
012060,25.0411094,102.6649565
012070,30.9412541,118.7540167
012080,26.2266466,104.0994286
012100,34.0316195,113.8237291
012110,34.2665541,117.1809741
012120,29.985931,103.0087944
012130,49.285437,120.7283079
012140,36.5836388,109.4840732
012150,33.3939707,120.1349541
012160,22.170242,111.7871708
012170,21.8526328,111.95935
012180,37.85862,113.5730276
012190,32.2375297,119.7921913
012200,32.3926973,119.4365759
012210,42.8888552,129.5008425
012220,34.7333075,112.7677155
012230,37.461928,121.4425255
012240,28.7657927,104.6353116
012260,31.7210346,112.2527375
012270,47.7231316,128.8785919
012280,27.788448,114.3837805
012290,30.3818328,111.4438635
012310,38.4829194,106.2116014
012320,30.9333642,113.5664812
012330,24.2079886,113.3962832
012360,43.9052027,81.2747797
012370,29.3063535,120.0702682
012380,31.3495972,119.817253
012390,28.5929656,112.3211783
012400,36.5831946,108.4607361
012410,42.8264052,93.5132835
012420,31.6918335,104.4514369
012430,33.937026,116.3663081
012440,29.3580475,105.91960950000001
012450,34.8661185,110.4446202
012460,28.8906978,120.0427315
012470,23.550278,107.832778
012480,23.6001078,101.9963466
012490,38.7323661,112.714087
012500,34.4022178,115.8229595
012520,29.3691365,113.095513
012530,30.4207193,120.2955529
012540,22.6354097,110.1498186
012550,38.2852957,109.7287583
012570,35.027637,111.002141
012590,35.5549206,116.8239025
012600,44.8246942,126.5359016
012620,28.6439377,102.5060902
012630,30.0393082,121.1501449
012640,34.1598968,113.4666612
012650,32.1296882,112.7656433
012660,34.8113006,117.3178278
012670,23.2624345,113.8064389
012680,48.015398,122.737618
012690,31.8782976,120.55145950000001
012700,29.1299011,110.4816207
012710,40.8228016,114.880567
012720,25.2923579,117.414772
012730,36.7152186,117.5291406
012740,26.3847869,113.2028678
012750,38.9365134,100.4556326
012760,24.5081859,117.6496027
012770,21.2745127,110.3541291
012780,46.07205,125.9871513
012790,23.0515551,112.4728451
012800,27.3376718,103.7144348
012820,37.354722,120.402222
012830,34.7591877,113.6524076
012840,32.2139599,119.458012
012860,30.4283835,111.7546868
012870,26.6368401,104.8480447
012880,31.1702322,112.5823331
012890,33.6306299,114.6423617
012900,31.5529832,119.5291524
012910,39.6963769,122.9703398
012920,30.8497265,114.7988108
012930,22.2305196,113.5462439
012940,29.7157268,120.2315762
012950,33.0115818,114.0164565
012960,39.4830388,115.9688632
012970,27.8394983,113.1482168
012980,36.8047833,118.0444472
012990,29.3367271,104.7765295
013000,25.97934,113.2302358
013010,30.1235983,104.6481144
013020,35.4042254,116.9651613
013030,32.952964,115.976087
013040,27.6677199,106.9443526
013060,4.4925756,-75.7394765
013080,10.9799669,-74.8013085
013090,6.3611746,-75.5897133
013100,7.1114611,-73.1172869
013110,3.8899335,-77.0786047
013120,3.4517923,-76.5324943
013130,10.4195841,-75.5271224
013170,7.8971458,-72.5080387
013280,4.4446595,-75.2430012
013350,5.0681104,-75.5173198
013360,6.2443382,-75.573553
013370,8.7558921,-75.887029
013380,2.9263127,-75.2891733
013400,3.5308373,-76.2988048
013410,1.2146286,-77.2782516
